wavelength,flux_cps,flux_counts
2869.633658089779,0.027174540984513974,24.457086886062577
2871.0616965633762,0.023754925199067974,21.379432679161177
2872.4897350369733,-0.016252243332219116,-14.627018998997205
2873.9177735105704,-0.013524298838367876,-12.171868954531089
2875.3458119841675,0.002329969152114292,2.0969722369028627
2876.7738504577646,-0.003164456661787764,-2.8480109956089876
2878.2018889313617,-0.0017849519278282145,-1.606456735045393
2879.629927404959,0.009606731025898917,8.646057923309025
2881.057965878556,0.00628243581239788,5.654192231158092
2882.486004352153,0.013596328562185532,12.236695705966978
2883.91404282575,-0.015278326579067764,-13.750493921160988
2885.3420812993472,-0.020303190799420466,-18.27287171947842
2886.7701197729443,0.007287729135248598,6.558956221723738
2888.1981582465414,0.0005829048129533949,0.5246143316580554
2889.6261967201385,0.008441414359908939,7.5972729239180445
2891.0542351937356,0.006884013058685121,6.195611752816609
2892.4822736673327,0.004677723519380677,4.209951167442609
2893.91031214093,0.007399479145488803,6.659531230939923
2895.338350614527,-0.016370904377288574,-14.733813939559717
2896.766389088124,-0.0023354510692759345,-2.101905962348341
2898.194427561721,0.0030250423606432916,2.7225381245789624
2899.622466035318,-0.004638965021437366,-4.175068519293629
2901.0505045089153,3.964050258729183e-05,0.03567645232856265
2902.4785429825124,-0.005335038616617618,-4.801534754955856
2903.9065814561095,-0.0061001207011851764,-5.490108631066659
2905.3346199297066,0.03308840892691959,29.77956803422763
2906.7626584033037,0.024995551773772547,22.495996596395294
2908.190696876901,0.006930296456614101,6.237266810952692
2909.618735350498,0.009784522859743709,8.806070573769338
2911.046773824095,0.004541488970775233,4.08734007369771
2912.474812297692,-0.0007800133825816965,-0.7020120443235269
2913.902850771289,-0.0001699949516900586,-0.15299545652105273
2915.3308892448863,-0.005214825556615416,-4.693343000953875
2916.7589277184834,-0.00040499426295511297,-0.3644948366596017
2918.1869661920805,0.01021409438235542,9.192684944119877
2919.6150046656776,0.011813966181862465,10.632569563676219
2921.0430431392747,0.010250543257361194,9.225488931625074
2922.471081612872,-0.0011670817805308105,-1.0503736024777295
2923.899120086469,-0.0014632366352906809,-1.3169129717616128
2925.327158560066,-0.0019256714212329573,-1.7331042791096616
2926.755197033663,0.018043650622250478,16.23928556002543
2928.18323550726,0.011220927999317723,10.09883519938595
2929.6112739808573,0.006293192099080995,5.663872889172895
2931.0393124544544,0.0011783875064092994,1.0605487557683695
2932.4673509280515,0.0074875890134226035,6.738830112080343
2933.8953894016486,0.02014570271787783,18.13113244609005
2935.3234278752457,0.02291315781711637,20.621842035404732
2936.7514663488428,0.022044252021863633,19.83982681967727
2938.17950482244,0.018206495735948028,16.385846162353225
2939.607543296037,0.015861315973853384,14.275184376468045
2941.035581769634,0.039368244773304625,35.43142029597416
2942.463620243231,0.03169026647656138,28.521239828905244
2943.8916587168283,0.022349334989377093,20.114401490439384
2945.3196971904254,0.012325025376996058,11.092522839296452
2946.7477356640225,0.0071411105731174615,6.426999515805715
2948.1757741376196,0.0018673277781312396,1.6805950003181156
2949.6038126112167,0.00413430365109867,3.7208732859888034
2951.0318510848138,0.02780317509528964,25.022857585760676
2952.459889558411,0.027993078170160626,25.193770353144565
2953.887928032008,0.02741509500540892,24.67358550486803
2955.315966505605,0.028091259993324617,25.282133993992154
2956.744004979202,0.030815997506004052,27.73439775540365
2958.1720434527992,0.020368578998752707,18.331721098877438
2959.6000819263963,0.015329559179409579,13.79660326146862
2961.0281203999934,0.016599523723445656,14.939571351101089
2962.4561588735905,0.026883469264825086,24.19512233834258
2963.8841973471876,0.016732670058439886,15.059403052595899
2965.3122358207847,0.029152115217722024,26.23690369594982
2966.740274294382,0.03167005957525513,28.503053617729613
2968.168312767979,0.05071880615132399,45.646925536191596
2969.596351241576,0.04560830111227599,41.04747100104839
2971.024389715173,0.050582886394158755,45.52459775474288
2972.45242818877,0.04272145216817787,38.44930695136008
2973.8804666623673,0.03192875213237157,28.735876919134412
2975.3085051359644,0.03792513779156906,34.13262401241215
2976.7365436095615,0.036893843711904864,33.20445934071438
2978.1645820831586,0.026898216936641076,24.20839524297697
2979.5926205567557,0.025400643093351993,22.860578784016795
2981.020659030353,0.035148847583607395,31.633962825246655
2982.44869750395,0.036465001210660666,32.8185010895946
2983.876735977547,0.05027073927573787,45.243665348164086
2985.304774451144,0.049471112195631904,44.52400097606871
2986.732812924741,0.060042913770591066,54.03862239353196
2988.1608513983383,0.06726538205905545,60.538843853149906
2989.5888898719354,0.06576544225491983,59.18889802942784
2991.0169283455325,0.06334770937608139,57.01293843847325
2992.4449668191296,0.05420797534581089,48.7871778112298
2993.8730052927267,0.05863925564573542,52.775330081161876
2995.301043766324,0.05471165042361442,49.24048538125298
2996.729082239921,0.06022071711962857,54.198645407665715
2998.157120713518,0.0565142060652238,50.862785458701424
2999.585159187115,0.07048686565649194,63.438179090842745
3001.013197660712,0.06923432524406489,62.310892719658405
3002.4412361343093,0.05741495213087908,51.67345691779117
3003.8692746079064,0.05748382614354964,51.735443529194676
3005.2973130815035,0.08349303099591451,75.14372789632306
3006.7253515551006,0.08911667194026844,80.2050047462416
3008.1533900286977,0.060736949240919214,54.66325431682729
3009.581428502295,0.057547684604363616,51.79291614392726
3011.009466975892,0.07119969501801997,64.07972551621798
3012.437505449489,0.08100433382275603,72.90390044048043
3013.865543923086,0.07404023835631744,66.6362145206857
3015.293582396683,0.0757718993431056,68.19470940879505
3016.7216208702803,0.08127437112374772,73.14693401137295
3018.1496593438774,0.10472368441040819,94.25131596936737
3019.5776978174745,0.10386819641073033,93.4813767696573
