wavelength,flux
2869.633658089779,138.43158561412406
2871.0616965633762,138.57353263839963
2872.4897350369733,138.71547966267516
2873.9177735105704,138.85742668695073
2875.3458119841675,138.99937371122627
2876.7738504577646,139.14132073550184
2878.2018889313617,139.28326775977737
2879.629927404959,139.4252147840529
2881.057965878556,139.56716180832848
2882.486004352153,139.70910883260404
2883.91404282575,139.85105585687958
2885.3420812993472,139.99300288115512
2886.7701197729443,140.1349499054307
2888.1981582465414,140.27689692970623
2889.6261967201385,140.4188439539818
2891.0542351937356,140.56079097825733
2892.4822736673327,140.7027380025329
2893.91031214093,140.84468502680843
2895.338350614527,140.986632051084
2896.766389088124,141.12857907535954
2898.194427561721,141.2705260996351
2899.622466035318,141.41247312391064
2901.0505045089153,141.5544201481862
2902.4785429825124,141.69636717246175
2903.9065814561095,141.83831419673731
2905.3346199297066,141.98026122101285
2906.7626584033037,142.1222082452884
2908.190696876901,142.26415526956396
2909.618735350498,142.40610229383952
2911.046773824095,142.54804931811506
2912.474812297692,142.6899963423906
2913.902850771289,142.83194336666617
2915.3308892448863,142.9738903909417
2916.7589277184834,143.11583741521727
2918.1869661920805,143.2577844394928
2919.6150046656776,143.39973146376838
2921.0430431392747,143.5416784880439
2922.471081612872,143.68362551231948
2923.899120086469,143.82557253659502
2925.327158560066,143.96751956087058
2926.755197033663,144.10946658514612
2928.18323550726,144.2514136094217
2929.6112739808573,144.39336063369723
2931.0393124544544,144.5353076579728
2932.4673509280515,144.67725468224833
2933.8953894016486,144.81920170652387
2935.3234278752457,144.96114873079944
2936.7514663488428,145.103095755075
2938.17950482244,145.24504277935054
2939.607543296037,145.38698980362608
2941.035581769634,145.52893682790165
2942.463620243231,145.6708838521772
2943.8916587168283,145.81283087645275
2945.3196971904254,145.9547779007283
2946.7477356640225,146.09672492500385
2948.1757741376196,146.2386719492794
2949.6038126112167,146.38061897355496
2951.0318510848138,146.5225659978305
2952.459889558411,146.66451302210606
2953.887928032008,146.8064600463816
2955.315966505605,146.94840707065717
2956.744004979202,147.0903540949327
2958.1720434527992,147.23230111920827
2959.6000819263963,147.3742481434838
2961.0281203999934,147.51619516775935
2962.4561588735905,147.65814219203492
2963.8841973471876,147.80008921631048
2965.3122358207847,147.94203624058602
2966.740274294382,148.08398326486156
2968.168312767979,148.22593028913712
2969.596351241576,148.3678773134127
2971.024389715173,148.50982433768823
2972.45242818877,148.65177136196377
2973.8804666623673,148.79371838623933
2975.3085051359644,148.93566541051487
2976.7365436095615,149.07761243479044
2978.1645820831586,149.21955945906598
2979.5926205567557,149.36150648334154
2981.020659030353,149.50345350761708
2982.44869750395,149.64540053189265
2983.876735977547,149.78734755616819
2985.304774451144,149.92929458044375
2986.732812924741,150.0712416047193
2988.1608513983383,150.21318862899483
2989.5888898719354,150.3551356532704
2991.0169283455325,150.49708267754596
2992.4449668191296,150.6390297018215
2993.8730052927267,150.78097672609704
2995.301043766324,150.9229237503726
2996.729082239921,151.06487077464814
2998.157120713518,151.2068177989237
2999.585159187115,151.34876482319925
3001.013197660712,151.4907118474748
3002.4412361343093,151.63265887175035
3003.8692746079064,151.77460589602592
3005.2973130815035,151.91655292030146
3006.7253515551006,152.05849994457702
3008.1533900286977,152.20044696885256
3009.581428502295,152.34239399312813
3011.009466975892,152.48434101740366
3012.437505449489,152.62628804167923
3013.865543923086,152.76823506595477
3015.293582396683,152.9101820902303
3016.7216208702803,153.05212911450587
3018.1496593438774,153.19407613878144
3019.5776978174745,153.33602316305698
3021.0057362910716,153.47797018733252
3022.4337747646687,153.61991721160808
3023.8618132382658,153.76186423588362
3025.289851711863,153.9038112601592
3026.71789018546,154.04575828443473
3028.145928659057,154.1877053087103
3029.573967132654,154.32965233298583
3031.0020056062513,154.4715993572614
3032.4300440798484,154.61354638153693
3033.8580825534455,154.7554934058125
3035.2861210270426,154.89744043008804
3036.7141595006397,155.0393874543636
3038.1421979742368,155.18133447863914
3039.570236447834,155.3232815029147
3040.998274921431,155.46522852719025
3042.426313395028,155.6071755514658
3043.854351868625,155.74912257574135
3045.2823903422222,155.89106960001692
3046.7104288158193,156.03301662429246
3048.1384672894164,156.174963648568
3049.5665057630135,156.31691067284356
3050.9945442366106,156.4588576971191
3052.4225827102077,156.60080472139467
3053.850621183805,156.7427517456702
3055.278659657402,156.88469876994577
3056.706698130999,157.0266457942213
3058.134736604596,157.16859281849688
3059.562775078193,157.3105398427724
3060.9908135517903,157.45248686704798
3062.4188520253874,157.59443389132352
3063.8468904989845,157.73638091559909
3065.2749289725816,157.87832793987462
3066.7029674461787,158.0202749641502
3068.131005919776,158.16222198842573
3069.559044393373,158.30416901270127
3070.98708286697,158.44611603697683
3072.415121340567,158.5880630612524
3073.843159814164,158.73001008552794
3075.2711982877613,158.87195710980347
3076.6992367613584,159.01390413407904
3078.1272752349555,159.15585115835458
3079.5553137085526,159.29779818263015
3080.9833521821497,159.43974520690568
3082.411390655747,159.58169223118125
3083.839429129344,159.7236392554568
3085.267467602941,159.86558627973236
3086.695506076538,160.0075333040079
3088.123544550135,160.14948032828346
3089.5515830237323,160.291427352559
3090.9796214973294,160.43337437683456
3092.4076599709265,160.5753214011101
3093.8356984445236,160.71726842538567
3095.2637369181207,160.8592154496612
3096.691775391718,161.00116247393674
3098.119813865315,161.1431094982123
3099.547852338912,161.28505652248788
3100.975890812509,161.42700354676342
3102.403929286106,161.56895057103895
3103.8319677597033,161.71089759531452
3105.2600062333004,161.85284461959006
3106.6880447068975,161.99479164386563
3108.1160831804946,162.13673866814116
